rank,folder,file,line_number,oxford_text,current_confidence,current_scansion,gain,needed_words
443,to_complete,MkT_gui.csv,The Monk's Tale 2467,Both Est and West South and Septemtrioun,42.86,u S u S u S uSuS,37,"septemtrioun(0), south(0), est(1), west(1), both(0)"
444,to_complete,KnT_gui.csv,The Knight's Tale 2634,The jelous strokes on hir helmes bite,62.01,u Su Su S u Su Sx,37,"jelous(0), bite(1), helmes(0), strokes(1)"
445,to_complete,WBT_gui.csv,The Wife of Bath's Tale 1199,Povert is this although it seme elenge,37.21,uS u S uS u Sx uSx,37,"elenge(0), povert(0), seme(0), although(3)"
446,to_complete,MerT_gui.csv,The Merchant's Tale 1279,On brotel ground they builde and brotelnesse,40.62,u Su S u Sx u SuSx,37,"brotel(0), brotelnesse(0), builde(0), ground(3)"
447,completed_unvetted,ABC_gui_complete.csv,ABC 89,Moises that sauh the bush with flaumes rede,39.93,uS u S u S u Su Sx,37,"flaumes(0), sauh(0), moises(0), bush(0)"
448,to_complete,KnT_gui.csv,The Knight's Tale 1451,In derknesse and horrible and strong prisoun,32.13,u Sux S uSx u S uS,37,"derknesse(0), horrible(0), prisoun(0), strong(3)"
449,to_complete,SumT_gui.csv,The Summoner's Tale 2033,His felaw here he standeth hool alive,47.61,u Su Sx u Su S uSx,37,"alive(0), felaw(0), standeth(0), hool(3)"
450,to_complete,MkT_gui.csv,The Monk's Tale 2009,And nat bigeten of mannes sperme unclene,22.23,u S uSu S ux Sx uSx,37,"bigeten(0), sperme(0), unclene(0), mannes(3)"
451,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 809,Unknowe unkist and lost that is unsought,43.55,uSx uS u S u S uS,37,"unkist(0), unsought(0), unknowe(1), lost(0)"
452,to_complete,KnT_gui.csv,The Knight's Tale 1524,For alday meteth men at unset stevene,29.66,u Su Sx u S uS uSx,37,"meteth(0), stevene(0), unset(0), alday(3)"
453,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 192,I nam withholden yit with never nother,42.44,u S uSu S u Su Sx,37,"nam(0), nother(0), withholden(0), yit(3)"
454,to_complete,ClT_gui.csv,The Clerk's Tale 264,Houses of office stuffed with plentee,34.44,uS u Sux Su S uS,37,"plentee(0), stuffed(0), office(1), houses(1)"
455,to_complete,ClT_gui.csv,The Clerk's Tale 583,Shold this child ful softe winde and wrappe,43.44,u S u S ux Sx u Su,37,"wrappe(0), winde(1), shold(2), child(0), softe(4)"
456,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 921,Every man chit and halt him ivele apaid,0.00,       ,37,"chit(0), ivele(0), apaid(0), halt(1)"
457,to_complete,CYPro_gui.csv,Prologue to the Canon's Yeoman's Tale 637,And is of power better cloth to beye,42.72,u S u Su Su S u S,37,"better(0), beye(0), cloth(0), power(2)"
458,to_complete,ClPro_gui.csv,The Clerk's Prologue 32,Highte this clerk whos rethorike sweete,31.63,ux S u S uSux Su,37,"rethorike(0), sweete(0), highte(1), whos(2), clerk(4)"
459,to_complete,PF_gui.csv,Parliament of Fowls 426,And havinge only reward to my truthe,42.24,u Sux Su Su S u Sx,37,"havinge(0), truthe(0), reward(1), only(2)"
460,to_complete,RvT_gui.csv,The Reeve's Tale 4173,Wha herkned ever slik a ferly thing,49.85,u Su Su S u Su S,37,"ferly(0), wha(0), herkned(1), slik(0)"
461,completed_unvetted,ABC_gui_complete.csv,ABC 163,And suffrede eke that Longius his herte pighte,18.23,u Sxx ux S uSu S ux Sx,37,"longius(0), pighte(0), suffrede(0), eke(2)"
462,to_complete,ClT_gui.csv,The Clerk's Tale 437,Were wrothe she wold bringen hem atoon,30.36,ux Su S u Su S uS,37,"atoon(0), bringen(0), wrothe(0), wold(3)"
463,to_complete,MilT_gui.csv,The Miller's Tale 3304,And thakked hir about the lendes weel,42.65,u Su S uS u Su S,37,"lendes(0), thakked(0), about(0), weel(1)"
464,to_complete,FranT_gui.csv,The Franklin's Tale 948,Songes compleintes roundels virelaies,0.00,uS uSx uS uSuS,37,"compleintes(0), roundels(0), songes(1), virelaies(0)"
465,to_complete,LGW_gui.csv,100-ch 647,He bringeth the cuppe and biddeth hem be blithe,62.49,u Sx u Sx u Su S u Sx,37,"biddeth(0), cuppe(0), blithe(1), bringeth(1)"
466,to_complete,MkT_gui.csv,The Monk's Tale 2005,Now artow Sathanas that maist nat twinne,42.22,u Su SuS u S u Sx,37,"maist(0), sathanas(0), twinne(1), artow(0)"
467,to_complete,RvT_gui.csv,The Reeve's Tale 4208,I sal been halde a daf a cokenay,32.22,u S u Sx u S u SuS,37,"cokenay(0), daf(0), halde(0), sal(0)"
468,to_complete,PF_gui.csv,Parliament of Fowls 290,Tristram Isoude Paris and Achilles,38.01,uS uSx uS u SuS,37,"isoude(0), tristram(0), achilles(1), paris(2)"
469,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 320,I know yow for a trew wif dame Alis,38.79,u S u S u S u Sx uS,37,"trew(0), alis(0), know(0), dame(3), wif(3)"
470,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 401,Deceite weping spinning God hath yive,37.69,uSu Su Su S u Sx,37,"deceite(0), weping(0), spinning(0), yive(2)"
471,to_complete,MLT_gui.csv,The Man of Law's Tale 377,And Cristendom of preestes handes fonge,76.60,u SuS u Su Su Sx,37,"fonge(0), cristendom(1), handes(1), preestes(1)"
472,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 282,Nought roughte I whiderward thou woldest me stere,37.02,u Sx u SuS u Sx u Sx,37,"whiderward(0), roughte(1), stere(1), woldest(0)"
473,to_complete,MancT_gui.csv,The Manciple's Tale 268,Bothe harpe and lute and giterne and sautrie,48.75,ux Sx u Sx u Sux S uS,37,"giterne(0), lute(0), sautrie(1), harpe(2)"
474,to_complete,PrT_gui.csv,The Prioress' Tale 628,With torment and with shamful deth echon,47.97,u Su S u Su S uS,37,"shamful(0), torment(0), echon(1), deth(1)"
475,to_complete,WBT_gui.csv,The Wife of Bath's Tale 1028,The queene hirself sittinge as a justise,46.11,u Sx uS uSx u S uSx,37,"justise(0), queene(0), hirself(1), sittinge(2)"
476,to_complete,KnT_gui.csv,The Knight's Tale 2559,With long swerd and with maces fight your fille,46.80,u S u S u Su S u Sx,37,"fight(0), fille(1), maces(1), long(3), swerd(3)"
477,to_complete,LGW_gui.csv,100-ch 725,And Tisbe hight the maid Naso seith thus,47.30,u Su S u S uS u S,37,"maid(0), naso(0), tisbe(0), hight(2)"
478,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1227,His bretheren and his sustren gonne him freine,35.79,u Sxu S u Su Sx u Sx,37,"freine(0), sustren(0), gonne(1), bretheren(2)"
479,to_complete,Anelida_gui.csv,Anelida and Arcite 29,Beforn this duk in signe of victorie,26.86,uS u S u Sx u SuS,37,"beforn(0), victorie(0), signe(1), duk(0)"
480,to_complete,SqT_gui.csv,The Squire's Tale 367,And slepte hir firste sleep and thanne awook,64.26,u Sx u Su S u Sx uS,37,"awook(0), slepte(0), firste(3), sleep(4), thanne(6)"
481,to_complete,SqT_gui.csv,The Squire's Tale 20,Pitous and just and evermore iliche,63.35,uS u S u SuSx uSx,37,"iliche(0), just(0), pitous(1), evermore(2)"
482,to_complete,KnT_gui.csv,The Knight's Tale 2676,This fierse Arcite hath of his helm ydon,0.00,       ,37,"ydon(0), arcite(0), fierse(1), helm(1)"
483,to_complete,Anelida_gui.csv,Anelida and Arcite 24,With laurer crouned in his char goldbete,26.69,u Su Su S u S uSx,37,"crouned(0), goldbete(0), char(0), laurer(0)"
484,to_complete,LGW_gui.csv,100-ch 2480,Wel and hombly and let his shippes dighte,51.77,u S uS u S u Su Sx,37,"hombly(0), shippes(0), dighte(1), let(2)"
485,to_complete,NPT_gui.csv,The Nun's Priest's Tale 2926,Certes this dreem which ye han met tonight,35.74,uS u S u S u S uS,37,"dreem(0), tonight(0), met(1), certes(1)"
486,to_complete,KnT_gui.csv,The Knight's Tale 2685,From Pluto sent at requeste of Saturne,33.74,u Su S u Sux S uSx,37,"requeste(0), pluto(0), saturne(0), sent(1)"
487,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1176,Ye farewel al the snow of ferne yere,0.00,       ,37,"yere(0), farewel(1), ferne(1), snow(0)"
488,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 969,Stond faste for to good port hastow rowed,36.87,u Sx u S u S uS uS,37,"rowed(0), stond(0), hastow(0), port(2)"
489,to_complete,MerT_gui.csv,The Merchant's Tale 2243,Fulfild of sapience and of worldly glorie,0.00,      ,37,"glorie(0), sapience(0), worldly(1), fulfild(1)"
490,to_complete,ShipT_gui.csv,07-0-ch 405,What ivel thedom on his monkes snoute,42.45,u Su Su S u Su Sx,37,"monkes(0), snoute(0), thedom(0), ivel(2)"
491,to_complete,PrT_gui.csv,The Prioress' Tale 573,Where as these Jewes purgen hir entraille,20.58,ux S ux Su Su S uSx,37,"entraille(0), jewes(0), purgen(0), where(2)"
492,in_progress,BD_gui_in_progress.csv,Book of the Duchess 175,And slept upright her hed yhedde,48.34,u S uS u S uSx,37,"slept(0), yhedde(0), hed(1), upright(1)"
493,to_complete,KnT_gui.csv,The Knight's Tale 2087,Wel couthe he peinten lifly that it wroghte,44.54,u Sx u Su Su S u Sx,37,"lifly(0), peinten(0), wroghte(1), couthe(2)"
494,to_complete,MLT_gui.csv,The Man of Law's Tale 244,This same acord was sworn on either side,67.76,u Sx uS u S u Su Sx,37,"acord(1), sworn(1), either(1), same(3), side(5)"
495,to_complete,PF_gui.csv,Parliament of Fowls 177,The piler elm the cofre unto careine,51.66,u Su S u Sx uS uSx,37,"careine(0), cofre(1), elm(0), piler(0)"
496,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1806,Dispitously him slough the fiers Achille,7.46,uSux S u S uS uSx,37,"achille(0), dispitously(0), fiers(0), slough(0)"
497,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 308,My sheld to Pallas yef that shineth clere,64.58,u S u Su S u Su Sx,37,"yef(0), pallas(1), shineth(1), sheld(4), clere(6)"
498,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 657,And suffreth his wife to go seken halwes,51.90,u Sx u Sx u S uS uS,37,"suffreth(0), wife(0), halwes(1), seken(2)"
499,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 284,In real habite a ful esy paas,35.55,u Su Sux S u Su S,37,"habite(0), paas(0), real(0), esy(3)"
500,to_complete,MLT_gui.csv,The Man of Law's Tale 243,And herto founden suffisant seurtee,38.01,u Su Su SuS uS,37,"herto(0), seurtee(0), suffisant(0), founden(3)"
